epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.439,1.49874,3.28334,1.32377,0.62497,0.42123,0.40781,0.24338,1.53757,2.26076,1.30933,0.000661017,0.000661017,0.000661017
2,244.95,1.50648,1.52396,1.32168,0.78211,0.41794,0.52124,0.29271,1.67872,2.02426,1.47737,0.00130578,0.00130578,0.00130578
3,362.452,1.59161,1.56997,1.37594,0.6368,0.4023,0.42024,0.2358,1.73339,1.85114,1.47973,0.00192854,0.00192854,0.00192854
4,481.78,1.58596,1.46717,1.38823,0.8316,0.62574,0.68154,0.39683,1.45181,1.31657,1.26351,0.001901,0.001901,0.001901
5,598.194,1.55079,1.45867,1.36821,0.87736,0.67466,0.72808,0.45233,1.37443,1.09728,1.21913,0.001868,0.001868,0.001868
6,712.121,1.47376,1.40343,1.32406,0.83111,0.5274,0.62688,0.37965,1.3017,1.37615,1.18841,0.001835,0.001835,0.001835
7,827.996,1.40367,1.29833,1.26292,0.85716,0.65762,0.73956,0.46332,1.26852,1.25019,1.17372,0.001802,0.001802,0.001802
8,947.036,1.34479,1.19723,1.2582,0.83215,0.67914,0.75465,0.4962,1.24523,0.9211,1.13364,0.001769,0.001769,0.001769
9,1061.98,1.29923,1.14278,1.23874,0.88638,0.71233,0.7702,0.51391,1.19074,0.92689,1.13275,0.001736,0.001736,0.001736
10,1179.68,1.29631,1.14103,1.24077,0.8592,0.7226,0.76856,0.5188,1.18013,0.86153,1.11487,0.001703,0.001703,0.001703
11,1290.8,1.26977,1.06942,1.20453,0.93056,0.72603,0.7858,0.52115,1.10575,0.8696,1.08263,0.00167,0.00167,0.00167
12,1401.69,1.24284,1.07182,1.19335,0.93819,0.71575,0.79486,0.52257,1.15801,0.87477,1.09187,0.001637,0.001637,0.001637
13,1514.96,1.21621,1.04242,1.20014,0.88123,0.73691,0.81405,0.5447,1.16811,0.80713,1.1132,0.001604,0.001604,0.001604
14,1622.71,1.19712,0.98886,1.17115,0.90047,0.77055,0.81646,0.5436,1.11446,0.79623,1.08329,0.001571,0.001571,0.001571
15,1737.09,1.18231,0.96752,1.17113,0.91875,0.73288,0.81074,0.53627,1.15319,0.77388,1.08444,0.001538,0.001538,0.001538
16,1850.84,1.19148,0.97757,1.1676,0.90879,0.71657,0.80434,0.56804,1.0705,0.77798,1.04608,0.001505,0.001505,0.001505
17,1960.62,1.1738,0.96503,1.15635,0.92941,0.7774,0.83593,0.57051,1.06153,0.74999,1.06238,0.001472,0.001472,0.001472
18,2068.44,1.1496,0.92494,1.16195,0.93396,0.78082,0.8417,0.58557,1.04673,0.69322,1.04166,0.001439,0.001439,0.001439
19,2183.92,1.16883,0.92544,1.15022,0.89331,0.7774,0.82985,0.57855,1.06281,0.71226,1.03921,0.001406,0.001406,0.001406
20,2299.15,1.12843,0.91302,1.13095,0.9449,0.74658,0.83298,0.57459,1.08352,0.7218,1.04437,0.001373,0.001373,0.001373
21,2413.9,1.10865,0.89833,1.11862,0.91988,0.78767,0.83771,0.59677,1.0426,0.69179,1.02934,0.00134,0.00134,0.00134
22,2527.35,1.11829,0.90614,1.12272,0.91867,0.77369,0.83714,0.58431,1.0599,0.7237,1.05867,0.001307,0.001307,0.001307
23,2637.13,1.09694,0.87869,1.12513,0.95002,0.78425,0.84824,0.58986,1.02838,0.67535,1.03016,0.001274,0.001274,0.001274
24,2754.43,1.09163,0.88222,1.11352,0.90096,0.78425,0.8457,0.59408,0.99381,0.67228,1.0085,0.001241,0.001241,0.001241
25,2869.3,1.04781,0.83368,1.08527,0.9539,0.7774,0.85283,0.5976,0.99999,0.66501,1.01789,0.001208,0.001208,0.001208
26,2984.8,1.0693,0.86554,1.10576,0.92577,0.81146,0.86782,0.62248,0.98291,0.63934,0.99672,0.001175,0.001175,0.001175
27,3100.07,1.04808,0.83818,1.10191,0.93231,0.80182,0.85754,0.61136,0.9598,0.63474,0.99576,0.001142,0.001142,0.001142
28,3214.34,1.02663,0.82343,1.08906,0.89884,0.81507,0.85284,0.6119,0.96209,0.65157,1.0001,0.001109,0.001109,0.001109
29,3327.73,1.04661,0.81224,1.09226,0.91202,0.78101,0.84918,0.61575,0.9728,0.66337,1.00059,0.001076,0.001076,0.001076
30,3440.26,1.00084,0.78449,1.06083,0.91777,0.79795,0.85413,0.61952,0.93312,0.62571,0.99359,0.001043,0.001043,0.001043
31,3557.68,1.02418,0.81334,1.0834,0.9341,0.79795,0.8444,0.61427,0.94819,0.63818,0.99346,0.00101,0.00101,0.00101
32,3669.38,0.96741,0.74939,1.06051,0.90673,0.81849,0.85015,0.60266,0.96173,0.6369,0.9947,0.000977,0.000977,0.000977
33,3783.11,0.98608,0.73766,1.06086,0.95719,0.79795,0.86943,0.62841,0.94312,0.58193,0.99147,0.000944,0.000944,0.000944
34,3897.69,0.94671,0.7461,1.05488,0.93051,0.8255,0.86484,0.62243,0.92894,0.60503,0.99349,0.000911,0.000911,0.000911
35,4011.89,0.96913,0.74967,1.06609,0.93559,0.80479,0.86531,0.62671,0.96938,0.60282,1.00192,0.000878,0.000878,0.000878
36,4127.64,0.96602,0.74844,1.0632,0.96083,0.78767,0.85791,0.62253,0.9375,0.63578,0.98942,0.000845,0.000845,0.000845
37,4241.31,0.94624,0.71821,1.0537,0.95997,0.7911,0.86317,0.63665,0.9047,0.58764,0.98329,0.000812,0.000812,0.000812
38,4351.36,0.92628,0.73076,1.04573,0.92425,0.80479,0.85905,0.63691,0.90898,0.57679,0.97669,0.000779,0.000779,0.000779
39,4466.02,0.93574,0.7295,1.04077,0.93234,0.81164,0.85768,0.63911,0.91569,0.60687,0.97938,0.000746,0.000746,0.000746
40,4580.53,0.92338,0.70551,1.03723,0.9296,0.81396,0.85604,0.6193,0.94393,0.61169,0.99473,0.000713,0.000713,0.000713
41,4693.43,0.92139,0.71171,1.04395,0.91637,0.80822,0.85871,0.63419,0.90291,0.58161,0.97359,0.00068,0.00068,0.00068
42,4804.1,0.91494,0.69084,1.03936,0.93214,0.80137,0.85691,0.63501,0.89296,0.5893,0.97344,0.000647,0.000647,0.000647
43,4915.18,0.909,0.69109,1.03311,0.93508,0.81507,0.86963,0.64274,0.9033,0.56227,0.97836,0.000614,0.000614,0.000614
44,5026.05,0.89408,0.67608,1.0338,0.9431,0.80822,0.86779,0.64037,0.90063,0.55318,0.97911,0.000581,0.000581,0.000581
45,5139.51,0.88877,0.65849,1.03372,0.94287,0.81164,0.8622,0.64309,0.89627,0.55752,0.96899,0.000548,0.000548,0.000548
46,5258.15,0.90072,0.68242,1.02944,0.93261,0.80576,0.85871,0.64085,0.89399,0.55852,0.9883,0.000515,0.000515,0.000515
