epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4047,1.10885,1.07041,1.25521,0.83285,0.87521,0.91354,0.5787,1.16461,1.40438,1.40167,0.000659341,0.000659341,0.000659341
2,37.5222,1.12341,0.80158,1.22509,0.81583,0.75649,0.83556,0.43749,1.7857,1.60014,1.89144,0.00130413,0.00130413,0.00130413
3,54.927,1.14948,0.80371,1.24594,0.89,0.90338,0.94807,0.63915,1.17368,1.08684,1.33523,0.00192692,0.00192692,0.00192692
4,73.0007,1.10432,0.74717,1.21462,0.94384,0.96584,0.97993,0.73889,1.05009,0.63129,1.27669,0.001901,0.001901,0.001901
5,91.1219,1.03968,0.68705,1.17582,0.96189,0.95332,0.97313,0.72061,1.047,0.6841,1.24631,0.001868,0.001868,0.001868
6,108.614,1.01654,0.63976,1.16352,0.95164,0.93432,0.98425,0.73611,1.0244,0.58248,1.20703,0.001835,0.001835,0.001835
7,126.122,1.01163,0.6514,1.16182,0.97486,0.98194,0.99141,0.75377,0.99052,0.47841,1.18699,0.001802,0.001802,0.001802
8,144.28,0.99064,0.60203,1.14581,0.97381,0.97706,0.99178,0.75396,0.95101,0.54779,1.15675,0.001769,0.001769,0.001769
9,162.461,0.97206,0.58724,1.12763,0.975,0.97537,0.98991,0.75234,1.02645,0.54734,1.21985,0.001736,0.001736,0.001736
10,179.975,0.97803,0.5818,1.13229,0.94699,0.90937,0.96844,0.69288,1.18649,0.7066,1.36837,0.001703,0.001703,0.001703
11,197.511,0.97176,0.57863,1.12858,0.98329,0.96622,0.99197,0.76305,0.97573,0.45583,1.17902,0.00167,0.00167,0.00167
12,215.701,0.94601,0.56773,1.11478,0.98667,0.97259,0.99233,0.76641,0.95647,0.47355,1.15892,0.001637,0.001637,0.001637
13,233.924,0.95501,0.56154,1.12192,0.98043,0.97701,0.99154,0.76211,1.01671,0.54467,1.21697,0.001604,0.001604,0.001604
14,251.485,0.93887,0.53297,1.12061,0.98156,0.96159,0.99102,0.76567,0.96362,0.46135,1.15242,0.001571,0.001571,0.001571
15,269.063,0.92112,0.52797,1.11012,0.9836,0.98509,0.99103,0.77173,0.92006,0.43072,1.14685,0.001538,0.001538,0.001538
16,287.335,0.94266,0.55189,1.12463,0.97258,0.99007,0.99234,0.78143,0.93519,0.41735,1.15592,0.001505,0.001505,0.001505
17,305.573,0.91554,0.51488,1.09704,0.98035,0.98309,0.99234,0.77881,0.92472,0.42884,1.1311,0.001472,0.001472,0.001472
18,323.159,0.89798,0.50521,1.09152,0.97114,0.99461,0.99261,0.78623,0.90628,0.37509,1.1218,0.001439,0.001439,0.001439
19,341.376,0.89192,0.50212,1.0933,0.97803,0.96388,0.99125,0.77841,0.94475,0.43417,1.14296,0.001406,0.001406,0.001406
20,358.964,0.90248,0.50032,1.1013,0.98693,0.99176,0.99271,0.80102,0.88329,0.364,1.09943,0.001373,0.001373,0.001373
21,377.201,0.88216,0.4824,1.07767,0.9759,0.99742,0.99267,0.79277,0.89179,0.37166,1.12043,0.00134,0.00134,0.00134
22,394.785,0.87192,0.49584,1.08414,0.98043,0.98722,0.99248,0.78678,0.9249,0.40303,1.13841,0.001307,0.001307,0.001307
23,412.36,0.87527,0.48323,1.07473,0.98012,0.97537,0.99145,0.78785,0.90298,0.39279,1.1154,0.001274,0.001274,0.001274
24,429.94,0.87061,0.47012,1.08101,0.98979,0.99179,0.99235,0.78394,0.9048,0.38408,1.12406,0.001241,0.001241,0.001241
25,447.527,0.85646,0.46226,1.06602,0.97896,0.99507,0.99206,0.78679,0.90189,0.36542,1.11389,0.001208,0.001208,0.001208
26,465.113,0.86488,0.46343,1.07,0.98325,0.99343,0.99201,0.7882,0.90715,0.36973,1.1279,0.001175,0.001175,0.001175
27,482.684,0.8612,0.46278,1.06943,0.98378,0.99343,0.99361,0.79219,0.89428,0.34683,1.11495,0.001142,0.001142,0.001142
28,500.263,0.83964,0.45194,1.06388,0.9806,0.99616,0.99277,0.79483,0.88737,0.3518,1.1139,0.001109,0.001109,0.001109
29,517.86,0.82704,0.43838,1.04906,0.9771,0.99507,0.993,0.80427,0.87388,0.35455,1.10895,0.001076,0.001076,0.001076
30,536.427,0.83085,0.43993,1.05832,0.98609,0.98851,0.99218,0.79348,0.90915,0.36818,1.11624,0.001043,0.001043,0.001043
31,553.993,0.82709,0.44714,1.05696,0.98041,0.98592,0.99242,0.80359,0.90137,0.37177,1.11602,0.00101,0.00101,0.00101
32,571.552,0.82027,0.4415,1.05217,0.98312,0.99343,0.99273,0.80952,0.84116,0.34619,1.09035,0.000977,0.000977,0.000977
33,589.756,0.81987,0.43946,1.05352,0.98515,0.98686,0.99265,0.80421,0.86221,0.34315,1.09365,0.000944,0.000944,0.000944
34,607.296,0.8074,0.42022,1.04594,0.97975,0.99507,0.99317,0.80009,0.86174,0.3542,1.08715,0.000911,0.000911,0.000911
